,cond_pow_level,mape
0,3.0,0.052023438891491684
1,3.1,0.0490465590114762
2,3.2,0.04635203506343684
3,3.3000000000000003,0.04400477031419573
4,3.4000000000000004,0.042097015128219485
5,3.5000000000000004,0.04064106333316052
6,3.6000000000000005,0.039699687418565194
7,3.7000000000000006,0.03923926513463124
8,3.8000000000000007,0.039229762837675194
9,3.900000000000001,0.03960353139967676
10,4.000000000000001,0.040258507965930085
11,4.100000000000001,0.04113624870859924
12,4.200000000000001,0.042118261611145985
13,4.300000000000001,0.0432153611117382
14,4.400000000000001,0.04436858327298906
15,4.500000000000002,0.045564360167968075
16,4.600000000000001,0.046785022425730405
17,4.700000000000001,0.04800428721552854
18,4.800000000000002,0.04922197996719235
19,4.900000000000002,0.05043160833539782
20,5.000000000000002,0.05164309512629739
